"","word","freq"
"base","base",22
"bater","bater",22
"cenário","cenário",22
"estratégia","estratégia",22
"falas","falas",22
"gosta","gosta",22
"impressão","impressão",22
"maioria","maioria",22
"modelo","modelo",22
"outras","outras",22
"perdeu","perdeu",22
"prefirociro","prefirociro",22
"simone","simone",22
"terceira","terceira",22
"vasconcelos","vasconcelos",22
"ódio","ódio",22
"única","única",22
"adoro","adoro",21
"agr","agr",21
"ajudar","ajudar",21
"assumir","assumir",21
"candidatura","candidatura",21
"conhece","conhece",21
"disputa","disputa",21
"entrar","entrar",21
"excelente","excelente",21
"final","final",21
"gravata","gravata",21
"inegável","inegável",21
"invés","invés",21
"kkkkkkkkkk","kkkkkkkkkk",21
"livro","livro",21
"lixo","lixo",21
"merece","merece",21
"meteu","meteu",21
"min","min",21
"nogueira","nogueira",21
"paz","paz",21
"perguntar","perguntar",21
"povão","povão",21
"preguiça","preguiça",21
"preparo","preparo",21
"quinta","quinta",21
"relação","relação",21
"senhor","senhor",21
"show","show",21
"simplesmente","simplesmente",21
"tanta","tanta",21
"tomar","tomar",21
"voz","voz",21
"️","️",21
"alguns","alguns",20
"atacando","atacando",20
"bate","bate",20
"bicho","bicho",20
"causa","causa",20
"conhecimento","conhecimento",20
"conta","conta",20
"dados","dados",20
"eleitoral","eleitoral",20
"entrevistadores","entrevistadores",20
"espero","espero",20
"europa","europa",20
"frase","frase",20
"gostei","gostei",20
"incrível","incrível",20
"jogar","jogar",20
"mentiroso","mentiroso",20
"msm","msm",20
"parabéns","parabéns",20
"partido","partido",20
"piada","piada",20
"políticos","políticos",20
"acaba","acaba",19
"atenção","atenção",19
"ficou","ficou",19
"imagina","imagina",19
"irmão","irmão",19
"irrelevante","irrelevante",19
"massa","massa",19
"normal","normal",19
"novamente","novamente",19
"opinião","opinião",19
"passado","passado",19
"podem","podem",19
"programa","programa",19
"pé","pé",19
"tal","tal",19
"tenta","tenta",19
"visão","visão",19
"🡭","🡭",19
"além","além",18
"após","após",18
"bola","bola",18
"centraleleicoes","centraleleicoes",18
"chegar","chegar",18
"citar","citar",18
"colocar","colocar",18
"completamente","completamente",18
"conversar","conversar",18
"crimes","crimes",18
"errado","errado",18
"esperando","esperando",18
"filho","filho",18
"ganhou","ganhou",18
"horas","horas",18
"irá","irá",18
"jornaloglobo","jornaloglobo",18
"kkkkkkkkkkk","kkkkkkkkkkk",18
"ladrão","ladrão",18
"lembrar","lembrar",18
"nisso","nisso",18
"nordestino","nordestino",18
"pedindo","pedindo",18
"podia","podia",18
"prometendo","prometendo",18
"puta","puta",18
"rico","rico",18
"serasa","serasa",18
"taxação","taxação",18
"veja","veja",18
"virar","virar",18
"youtube","youtube",18
"acompanhar","acompanhar",17
"apresenta","apresenta",17
"bolsonarista","bolsonarista",17
"canalha","canalha",17
"coerente","coerente",17
"coitado","coitado",17
"contrário","contrário",17
"entendi","entendi",17
"esperança","esperança",17
"explica","explica",17
"feito","feito",17
"iria","iria",17
"liga","liga",17
"live","live",17
"mandou","mandou",17
"marina","marina",17
"mostra","mostra",17
"mulher","mulher",17
"número","número",17
"parar","parar",17
"pobre","pobre",17
"pobres","pobres",17
"prática","prática",17
"querem","querem",17
"querer","querer",17
"rir","rir",17
"solução","solução",17
"tratamento","tratamento",17
"vale","vale",17
"vira","vira",17
"acredita","acredita",16
"amanhã","amanhã",16
"articulado","articulado",16
"cai","cai",16
"claramente","claramente",16
"classe","classe",16
"comparação","comparação",16
"concordo","concordo",16
"coração","coração",16
"crise","crise",16
"dias","dias",16
"dúvida","dúvida",16
"eita","eita",16
"escolher","escolher",16
"espaço","espaço",16
"fhc","fhc",16
"golpe","golpe",16
"guerra","guerra",16
"importante","importante",16
"impossível","impossível",16
"impressionante","impressionante",16
"inclusive","inclusive",16
"legal","legal",16
"lembra","lembra",16
"mandando","mandando",16
"merecia","merecia",16
"miriamleitao","miriamleitao",16
"muitas","muitas",16
"prever","prever",16
"tema","tema",16
"técnico","técnico",16
"uolnoticias","uolnoticias",16
"usa","usa",16
"venezuela","venezuela",16
"vermelha","vermelha",16
"volta","volta",16
"achei","achei",15
"algoritmos","algoritmos",15
"anti","anti",15
"assuntos","assuntos",15
"ate","ate",15
"bosta","bosta",15
"capaz","capaz",15
"cirocironojn","cirocironojn",15
"comer","comer",15
"contar","contar",15
"desculpa","desculpa",15
"desses","desses",15
"durante","durante",15
"engana","engana",15
"entrevistando","entrevistando",15
"esquece","esquece",15
"exatamente","exatamente",15
"forte","forte",15
"fã","fã",15
"genocida","genocida",15
"gostando","gostando",15
"intelectual","intelectual",15
"inteligentíssimo","inteligentíssimo",15
"kimpaim","kimpaim",15
"levar","levar",15
"lulaoficial","lulaoficial",15
"manda","manda",15
"mandato","mandato",15
"mds","mds",15
"mostrar","mostrar",15
"neles","neles",15
"nova","nova",15
"papinho","papinho",15
"parecendo","parecendo",15
"passou","passou",15
"pega","pega",15
"pegar","pegar",15
"preciso","preciso",15
"preso","preso",15
"quarta","quarta",15
"quis","quis",15
"raciocínio","raciocínio",15
"sinceramente","sinceramente",15
"surreal","surreal",15
"voltar","voltar",15
"abismo","abismo",14
"calvo","calvo",14
"coroné","coroné",14
"discordar","discordar",14
"econômico","econômico",14
