"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","class"
"175",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"176",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"177",0,0,0,0,0,0,0,0,0,2,"POSITIVO"
"178",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"179",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"180",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"181",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"182",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"183",0,0,1,0,0,0,1,1,0,2,"POSITIVO"
"184",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"185",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"186",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"187",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"188",0,0,0,0,0,0,1,0,1,1,"NEUTRO"
"189",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"190",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"191",0,0,0,0,1,0,0,0,0,1,"POSITIVO"
"192",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"193",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"194",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"195",1,1,0,1,1,2,1,1,2,3,"POSITIVO"
"196",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"197",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"198",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"199",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"200",0,0,0,0,0,0,1,1,0,1,"POSITIVO"
"201",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"202",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"203",2,0,0,1,0,0,0,0,3,0,"NEGATIVO"
"204",0,1,0,0,0,0,0,0,0,0,"NEUTRO"
"205",0,1,0,0,0,0,1,0,0,1,"POSITIVO"
"206",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"207",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"208",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"209",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"210",0,1,0,0,1,0,0,1,0,1,"POSITIVO"
"211",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"212",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"213",0,0,0,0,0,0,0,0,0,2,"POSITIVO"
"214",1,1,0,2,3,3,1,2,4,3,"NEGATIVO"
"215",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"216",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"217",0,0,0,0,0,0,0,1,0,1,"POSITIVO"
"218",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"219",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"220",0,1,0,0,1,0,1,0,0,1,"POSITIVO"
"221",0,1,0,0,0,0,0,1,0,0,"NEUTRO"
"222",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"223",1,2,0,0,2,1,1,4,1,5,"POSITIVO"
"224",1,0,0,0,0,0,0,0,0,0,"NEUTRO"
"225",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"226",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"227",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"228",1,3,0,0,2,1,1,4,1,4,"POSITIVO"
"229",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"230",0,1,0,0,0,0,0,0,0,0,"NEUTRO"
"231",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"232",0,0,0,2,0,2,0,0,2,0,"NEGATIVO"
"233",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"234",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"235",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"236",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"237",0,1,0,0,1,0,0,2,2,2,"NEUTRO"
"238",0,3,0,0,3,0,2,1,0,3,"POSITIVO"
"239",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"240",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"241",1,0,1,1,0,1,1,0,1,0,"NEGATIVO"
"242",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"243",1,0,0,1,0,2,0,0,1,0,"NEGATIVO"
"244",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"245",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"246",0,1,0,0,0,0,0,0,0,0,"NEUTRO"
"247",2,4,0,0,4,2,2,6,2,6,"POSITIVO"
"248",2,2,0,1,2,1,1,2,2,3,"POSITIVO"
"249",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"250",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"251",0,1,0,0,1,0,0,0,0,1,"POSITIVO"
"252",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"253",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"254",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"255",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"256",0,0,1,0,0,0,1,3,0,4,"POSITIVO"
"257",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"258",0,2,0,0,2,0,0,4,0,5,"POSITIVO"
"259",0,1,0,0,0,0,0,1,0,1,"POSITIVO"
"260",1,0,0,0,0,1,1,0,2,0,"NEGATIVO"
"261",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"262",0,0,0,1,0,1,0,1,2,1,"NEGATIVO"
"263",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"264",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"265",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"266",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"267",0,0,0,0,0,1,1,0,1,0,"NEGATIVO"
"268",0,0,0,1,0,0,0,0,0,2,"POSITIVO"
"269",0,0,0,0,0,0,1,1,0,1,"POSITIVO"
"270",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"271",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"272",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"273",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"274",0,0,0,0,0,1,1,0,1,0,"NEGATIVO"
"275",0,0,0,1,0,0,0,0,1,0,"NEGATIVO"
"276",0,1,0,0,1,0,0,1,0,1,"POSITIVO"
"277",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"278",4,0,1,4,0,2,0,0,4,0,"NEGATIVO"
"279",2,0,0,3,0,3,1,2,6,3,"NEGATIVO"
"280",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"281",0,1,0,0,1,0,0,1,0,2,"POSITIVO"
"282",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"283",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"284",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"285",0,0,0,0,0,0,0,0,1,2,"POSITIVO"
"286",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"287",0,0,2,1,0,3,0,0,5,0,"NEGATIVO"
"288",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"289",1,0,2,2,0,1,0,0,2,0,"NEGATIVO"
"290",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"291",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"292",0,1,0,0,1,0,1,1,0,2,"POSITIVO"
"293",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"294",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"295",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"296",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"297",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"298",0,0,0,0,1,1,0,1,0,2,"POSITIVO"
"299",1,0,0,1,0,0,0,0,1,0,"NEGATIVO"
"300",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"301",0,0,1,0,0,0,1,2,0,2,"POSITIVO"
"302",0,0,0,0,1,0,0,1,0,1,"POSITIVO"
"303",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"304",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"305",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"306",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"307",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"308",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"309",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"310",1,0,1,1,0,0,0,0,2,0,"NEGATIVO"
"311",0,1,0,0,2,0,0,1,0,2,"POSITIVO"
"312",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"313",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"314",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"315",1,2,0,0,2,1,1,3,1,3,"POSITIVO"
"316",0,1,0,0,0,0,0,0,0,1,"POSITIVO"
"317",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"318",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"319",0,0,0,0,0,0,0,1,0,1,"POSITIVO"
"320",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"321",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"322",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"323",3,1,1,1,1,1,2,1,7,3,"NEGATIVO"
"324",0,2,0,1,1,0,1,1,1,1,"NEUTRO"
"325",0,1,0,0,1,0,0,3,1,3,"POSITIVO"
"326",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"327",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"328",1,2,2,2,1,1,1,2,2,3,"POSITIVO"
"329",2,0,5,4,0,2,2,1,6,1,"NEGATIVO"
"330",0,1,0,0,0,0,0,1,0,1,"POSITIVO"
"331",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"332",1,0,1,1,0,0,0,0,2,0,"NEGATIVO"
"333",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"334",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"335",0,0,0,0,0,0,0,2,0,3,"POSITIVO"
"336",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"337",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"338",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"339",0,0,0,0,0,0,0,1,0,1,"POSITIVO"
"340",1,2,0,1,2,3,1,2,2,3,"POSITIVO"
"341",2,0,2,1,0,0,0,0,3,0,"NEGATIVO"
"342",1,2,0,0,2,1,1,4,1,4,"POSITIVO"
"343",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
