"","word","freq"
"sente","sente",23
"tchutchuca","tchutchuca",23
"uolnoticias","uolnoticias",23
"algumas","algumas",22
"aula","aula",22
"candidatos","candidatos",22
"comida","comida",22
"comido","comido",22
"democracia","democracia",22
"discurso","discurso",22
"eleitoral","eleitoral",22
"entrar","entrar",22
"força","força",22
"galera","galera",22
"humilhado","humilhado",22
"imprensa","imprensa",22
"obrigado","obrigado",22
"parabéns","parabéns",22
"pessoal","pessoal",22
"população","população",22
"problema","problema",22
"resposta","resposta",22
"saiu","saiu",22
"tbm","tbm",22
"terminar","terminar",22
"brasileira","brasileira",21
"come","come",21
"defendendo","defendendo",21
"difícil","difícil",21
"entrevistas","entrevistas",21
"federal","federal",21
"ganha","ganha",21
"gostoso","gostoso",21
"jantar","jantar",21
"mandar","mandar",21
"ministros","ministros",21
"moro","moro",21
"perde","perde",21
"respostas","respostas",21
"saco","saco",21
"segunda","segunda",21
"tenta","tenta",21
"totalmente","totalmente",21
"umas","umas",21
"🮴","🮴",21
"aceitar","aceitar",20
"acredito","acredito",20
"agonia","agonia",20
"apoiar","apoiar",20
"argumentos","argumentos",20
"bater","bater",20
"bolsonarofora","bolsonarofora",20
"botando","botando",20
"cala","cala",20
"caras","caras",20
"completamente","completamente",20
"diante","diante",20
"entendo","entendo",20
"entrevistar","entrevistar",20
"fdp","fdp",20
"imitando","imitando",20
"mostra","mostra",20
"político","político",20
"segundo","segundo",20
"tal","tal",20
"televisão","televisão",20
"vamo","vamo",20
"️","️",20
"abençoe","abençoe",19
"achando","achando",19
"algum","algum",19
"argumento","argumento",19
"bora","bora",19
"cadeia","cadeia",19
"chegou","chegou",19
"debates","debates",19
"desses","desses",19
"educação","educação",19
"entrevistando","entrevistando",19
"exatamente","exatamente",19
"feito","feito",19
"fácil","fácil",19
"golpe","golpe",19
"graças","graças",19
"junto","junto",19
"juro","juro",19
"muda","muda",19
"parar","parar",19
"postura","postura",19
"pronto","pronto",19
"rua","rua",19
"sabia","sabia",19
"soco","soco",19
"tao","tao",19
"uns","uns",19
"vagabundo","vagabundo",19
"arrepende","arrepende",18
"assisto","assisto",18
"bandido","bandido",18
"botar","botar",18
"brazilfight","brazilfight",18
"caráter","caráter",18
"claramente","claramente",18
"deixando","deixando",18
"desespero","desespero",18
"disso","disso",18
"embora","embora",18
"fato","fato",18
"fazem","fazem",18
"jornalista","jornalista",18
"krl","krl",18
"levar","levar",18
"matar","matar",18
"nikolasdm","nikolasdm",18
"podre","podre",18
"presa","presa",18
"saindo","saindo",18
"triste","triste",18
"veio","veio",18
"xingar","xingar",18
"único","único",18
"‍️","‍️",18
"adianta","adianta",17
"alguns","alguns",17
"conseguir","conseguir",17
"criança","criança",17
"crítica","crítica",17
"devia","devia",17
"diferente","diferente",17
"dilma","dilma",17
"emergencial","emergencial",17
"expressão","expressão",17
"fudendo","fudendo",17
"grupo","grupo",17
"ideia","ideia",17
"impressionante","impressionante",17
"infelizmente","infelizmente",17
"joga","joga",17
"jovem","jovem",17
"lembrar","lembrar",17
"linda","linda",17
"novamente","novamente",17
"nível","nível",17
"olhar","olhar",17
"parecendo","parecendo",17
"paulo","paulo",17
"perco","perco",17
"perdendo","perdendo",17
"perto","perto",17
"posso","posso",17
"puto","puto",17
"redes","redes",17
"respondendo","respondendo",17
"som","som",17
"tira","tira",17
"tom","tom",17
"últimos","últimos",17
"aguenta","aguenta",16
"aguentar","aguentar",16
"ansiosa","ansiosa",16
"baixo","baixo",16
"cagando","cagando",16
"comprar","comprar",16
"comprou","comprou",16
"coração","coração",16
"corrupção","corrupção",16
"covarde","covarde",16
"cú","cú",16
"desgraçado","desgraçado",16
"dias","dias",16
"doido","doido",16
"duas","duas",16
"escutar","escutar",16
"explicar","explicar",16
"globoplay","globoplay",16
"gosta","gosta",16
"jantou","jantou",16
"jogo","jogo",16
"juntos","juntos",16
"louco","louco",16
"mau","mau",16
"morte","morte",16
"mídia","mídia",16
"obrigada","obrigada",16
"ovo","ovo",16
"parede","parede",16
"partido","partido",16
"perdido","perdido",16
"pipoca","pipoca",16
"programa","programa",16
"questão","questão",16
"real","real",16
"reeleição","reeleição",16
"resultados","resultados",16
"saúde","saúde",16
"segue","segue",16
"sinceramente","sinceramente",16
"tomou","tomou",16
"xingou","xingou",16
"última","última",16
"única","única",16
"…","…",16
"achei","achei",15
"acreditar","acreditar",15
"ali","ali",15
"arrombado","arrombado",15
"atacar","atacar",15
"atenção","atenção",15
"bancada","bancada",15
"bolsonarista","bolsonarista",15
"carai","carai",15
"comeu","comeu",15
"conversa","conversa",15
"direita","direita",15
"dormir","dormir",15
"fatos","fatos",15
"filha","filha",15
"fodase","fodase",15
"gay","gay",15
"imbecil","imbecil",15
"jogando","jogando",15
"jornalismo","jornalismo",15
"ligar","ligar",15
"literalmente","literalmente",15
"língua","língua",15
"manda","manda",15
"mortes","mortes",15
"nobre","nobre",15
"pedindo","pedindo",15
"pegou","pegou",15
"pensando","pensando",15
"perguntando","perguntando",15
"porrada","porrada",15
"querem","querem",15
"querer","querer",15
"rio","rio",15
"risada","risada",15
"sabor","sabor",15
"seca","seca",15
"tortura","tortura",15
"veja","veja",15
"viver","viver",15
"”","”",15
"acabei","acabei",14
"aparecer","aparecer",14
"asno","asno",14
"asqueroso","asqueroso",14
"ataque","ataque",14
"ate","ate",14
"bola","bola",14
"bolsonaroreeleito","bolsonaroreeleito",14
"cai","cai",14
"chama","chama",14
"chance","chance",14
"classe","classe",14
"congresso","congresso",14
"deboche","deboche",14
"eleitor","eleitor",14
"falei","falei",14
"filhos","filhos",14
"inteiro","inteiro",14
"interpretar","interpretar",14
"irmão","irmão",14
"kkkkkkkkkkkkkkkkk","kkkkkkkkkkkkkkkkk",14
"lockdown","lockdown",14
"mesa","mesa",14
"moral","moral",14
"motivo","motivo",14
"mínimo","mínimo",14
"nesses","nesses",14
"pedro","pedro",14
"pesquisa","pesquisa",14
"polícia","polícia",14
"projac","projac",14
"ranço","ranço",14
"renatinha","renatinha",14
"resto","resto",14
"rápido","rápido",14
"sabendo","sabendo",14
"somente","somente",14
"sorriso","sorriso",14
"tema","tema",14
"total","total",14
"treme","treme",14
"vei","vei",14
"verme","verme",14
"voltar","voltar",14
"aguardando","aguardando",13
"alguem","alguem",13
"atacando","atacando",13
"bicho","bicho",13
"bolsonaro”","bolsonaro”",13
"chegando","chegando",13
"chegar","chegar",13
"coragem","coragem",13
"daí","daí",13
"diabo","diabo",13
"ditador","ditador",13
"duvido","duvido",13
"dó","dó",13
"fabiofaria","fabiofaria",13
"falam","falam",13
"farinha","farinha",13
"flaviobolsonaro","flaviobolsonaro",13
"fodido","fodido",13
"gasolina","gasolina",13
"ido","ido",13
"irá","irá",13
"linha","linha",13
"macetar","macetar",13
"mae","mae",13
"mentirosonojn","mentirosonojn",13
"merece","merece",13
"meter","meter",13
"noção","noção",13
"número","número",13
"pais","pais",13
"patético","patético",13
"pegar","pegar",13
"perguntam","perguntam",13
"perguntar","perguntar",13
"plano","plano",13
"poderia","poderia",13
"pontos","pontos",13
"porém","porém",13
"preparado","preparado",13
"promessas","promessas",13
"proteja","proteja",13
"própria","própria",13
"querido","querido",13
"segundos","segundos",13
"stf","stf",13
"série","série",13
"taoquei","taoquei",13
"usando","usando",13
"usar","usar",13
"vencer","vencer",13
"virou","virou",13
"vizinhos","vizinhos",13
"água","água",13
"amassando","amassando",12
"anta","anta",12
"apoiando","apoiando",12
"apoio","apoio",12
"base","base",12
"basta","basta",12
"blogdonoblat","blogdonoblat",12
"brincadeira","brincadeira",12
"burra","burra",12
"caso","caso",12
"chacota","chacota",12
"cheio","cheio",12
"chorar","chorar",12
"cirogomes","cirogomes",12
"coloca","coloca",12
"colocou","colocou",12
"comigo","comigo",12
"comprada","comprada",12
"condições","condições",12
"deixam","deixam",12
"desgraça","desgraça",12
"dms","dms",12
"econômica","econômica",12
"entendi","entendi",12
"errado","errado",12
"erro","erro",12
"escroto","escroto",12
"estado","estado",12
"fará","fará",12
"fiz","fiz",12
"fugir","fugir",12
"guedes","guedes",12
"homi","homi",12
"horrível","horrível",12
"humilhando","humilhando",12
"imitou","imitou",12
"impossível","impossível",12
"inferno","inferno",12
"inflação","inflação",12
"jamais","jamais",12
"levantar","levantar",12
"live","live",12
"massacrando","massacrando",12
"morrer","morrer",12
"mostrando","mostrando",12
"mudou","mudou",12
"muitos","muitos",12
"papo","papo",12
"pediu","pediu",12
"peguei","peguei",12
"pensa","pensa",12
"pensar","pensar",12
"pisando","pisando",12
"profissional","profissional",12
"puro","puro",12
"público","público",12
"respeitará","respeitará",12
"seco","seco",12
"senadorhumberto","senadorhumberto",12
"silêncio","silêncio",12
"vale","vale",12
"virar","virar",12
"vomitar","vomitar",12
"votos","votos",12
"vsf","vsf",12
"vários","vários",12
"xingando","xingando",12
"aberta","aberta",11
"abre","abre",11
"absurdo","absurdo",11
"acima","acima",11
"ajudar","ajudar",11
"alto","alto",11
"ama","ama",11
"amigo","amigo",11
"bolso","bolso",11
"cagar","cagar",11
"caiu","caiu",11
"capacidade","capacidade",11
"chamou","chamou",11
"chora","chora",11
"combustível","combustível",11
"comédia","comédia",11
"contar","contar",11
"credo","credo",11
"crlh","crlh",11
"cuzinho","cuzinho",11
"dados","dados",11
"debochado","debochado",11
"delicia","delicia",11
"dessas","dessas",11
"dura","dura",11
"eleger","eleger",11
"entrou","entrou",11
"equipe","equipe",11
"escola","escola",11
"estúdios","estúdios",11
"familia","familia",11
"foder","foder",11
"fogo","fogo",11
"forte","forte",11
"fundo","fundo",11
"governador","governador",11
"hahahaha","hahahaha",11
"horrores","horrores",11
"imagem","imagem",11
"inteligente","inteligente",11
"irrita","irrita",11
"janta","janta",11
"linguagem","linguagem",11
"maceta","maceta",11
"mamar","mamar",11
"mandou","mandou",11
"meia","meia",11
"misericórdia","misericórdia",11
"momentos","momentos",11
"monte","monte",11
"mulheres","mulheres",11
"novela","novela",11
"orgulho","orgulho",11
"passo","passo",11
"pedir","pedir",11
"pega","pega",11
"pescoço","pescoço",11
"porta","porta",11
"precisava","precisava",11
"propostas","propostas",11
"protetor","protetor",11
"prédio","prédio",11
"quantas","quantas",11
"quinta","quinta",11
"rapaz","rapaz",11
"rconstantino","rconstantino",11
"reforma","reforma",11
"relação","relação",11
"retardado","retardado",11
"sabemos","sabemos",11
"safado","safado",11
"sentir","sentir",11
"socorro","socorro",11
"solar","solar",11
"tamanho","tamanho",11
"tempos","tempos",11
"urgente","urgente",11
"achar","achar",10
"amado","amado",10
"andrejanonesadv","andrejanonesadv",10
"apresentadores","apresentadores",10
"babaca","babaca",10
"banho","banho",10
"bolsonaristas","bolsonaristas",10
"bonito","bonito",10
"bota","bota",10
"capeta","capeta",10
"chamar","chamar",10
"cheia","cheia",10
"colinha","colinha",10
"correndo","correndo",10
"corrupto","corrupto",10
"decomposição","decomposição",10
"deflação","deflação",10
"descaradamente","descaradamente",10
"desligar","desligar",10
"dito","dito",10
"entende","entende",10
"etc","etc",10
"faltou","faltou",10
"ficando","ficando",10
"figura","figura",10
"fizeram","fizeram",10
"fono","fono",10
"fudido","fudido",10
"gafe","gafe",10
"geral","geral",10
"gritar","gritar",10
"ignorante","ignorante",10
"igreja","igreja",10
"importa","importa",10
"importante","importante",10
"inacreditável","inacreditável",10
"inclusive","inclusive",10
"internet","internet",10
"jogar","jogar",10
"kkkkkkkkkkkkkkkk","kkkkkkkkkkkkkkkk",10
"livre","livre",10
"lubrificante","lubrificante",10
"lulapresidente","lulapresidente",10
"mete","mete",10
"miliciano","miliciano",10
"militar","militar",10
"morre","morre",10
"narrativas","narrativas",10
"olhando","olhando",10
"opinião","opinião",10
"outras","outras",10
"ouvi","ouvi",10
"ouvido","ouvido",10
"panelas","panelas",10
"pauta","pauta",10
"perdi","perdi",10
"pica","pica",10
"politica","politica",10
"preciso","preciso",10
"prisão","prisão",10
"prova","prova",10
"pé","pé",10
"qdo","qdo",10
"qnd","qnd",10
"quatro","quatro",10
"quebrar","quebrar",10
"roda","roda",10
"rolando","rolando",10
"salário","salário",10
"sangue","sangue",10
"sentindo","sentindo",10
"sido","sido",10
"suporto","suporto",10
"trata","trata",10
"tremendo","tremendo",10
"vacinas","vacinas",10
"vitória","vitória",10
"vivendo","vivendo",10
"vote","vote",10
"véi","véi",10
"absolutamente","absolutamente",9
"altura","altura",9
"aonde","aonde",9
"apoiam","apoiam",9
"arregou","arregou",9
"assuntos","assuntos",9
"autonomia","autonomia",9
"bananinha","bananinha",9
"bandeira","bandeira",9
"bolsonarosp","bolsonarosp",9
"brasília","brasília",9
"burrice","burrice",9
"calma","calma",9
"cedo","cedo",9
"chamado","chamado",9
"chamando","chamando",9
"cheguei","cheguei",9
"começando","começando",9
"comparar","comparar",9
"completo","completo",9
"conseguimos","conseguimos",9
"contradizendo","contradizendo",9
"contrário","contrário",9
"conversando","conversando",9
"crise","crise",9
"cuspe","cuspe",9
"destruindo","destruindo",9
"diferença","diferença",9
"discutir","discutir",9
"dizem","dizem",9
"dps","dps",9
"energia","energia",9
"esquecer","esquecer",9
"estaria","estaria",9
"facada","facada",9
"faculdade","faculdade",9
"famílias","famílias",9
"faça","faça",9
"fingir","fingir",9
"formular","formular",9
"foto","foto",9
"fé","fé",9
"gigante","gigante",9
"globosta","globosta",9
"graça","graça",9
"grobo","grobo",9
"imitar","imitar",9
"insiste","insiste",9
"interrompendo","interrompendo",9
"início","início",9
"iria","iria",9
"jacaré","jacaré",9
"jornaloglobo","jornaloglobo",9
"longe","longe",9
"maioria","maioria",9
"manaus","manaus",9
"mandando","mandando",9
"mandato","mandato",9
"mane","mane",9
"manter","manter",9
"menor","menor",9
"metendo","metendo",9
"mico","mico",9
"militantes","militantes",9
"nega","nega",9
"negócio","negócio",9
"odiar","odiar",9
"odio","odio",9
"olho","olho",9
"oque","oque",9
"pagar","pagar",9
"paralela","paralela",9
"participar","participar",9
"pesquisas","pesquisas",9
"podem","podem",9
"podia","podia",9
"preparando","preparando",9
"presidiário","presidiário",9
"prometeu","prometeu",9
"propaganda","propaganda",9
"pros","pros",9
"provas","provas",9
"próprias","próprias",9
"quiser","quiser",9
"raciocínio","raciocínio",9
"representa","representa",9
"ruas","ruas",9
"saia","saia",9
"segurando","segurando",9
"sentido","sentido",9
"sorayathronicke","sorayathronicke",9
"sorte","sorte",9
"subir","subir",9
"suficiente","suficiente",9
"sujeito","sujeito",9
"sul","sul",9
"surra","surra",9
"thiagoresiste","thiagoresiste",9
"tirando","tirando",9
"tiro","tiro",9
"verdades","verdades",9
"vexame","vexame",9
"vira","vira",9
"várias","várias",9
"acham","acham",8
"acusando","acusando",8
"acusações","acusações",8
"amazônia","amazônia",8
"animal","animal",8
"ansioso","ansioso",8
"arrasando","arrasando",8
"assumindo","assumindo",8
"ataca","ataca",8
"atual","atual",8
"aumenta","aumenta",8
"avisa","avisa",8
"baixa","baixa",8
"blá","blá",8
"bolsominion","bolsominion",8
"bolsonaro…","bolsonaro…",8
"cachorro","cachorro",8
"caga","caga",8
"caindo","caindo",8
"calado","calado",8
"capaz","capaz",8
"caro","caro",8
"concordo","concordo",8
"condomínio","condomínio",8
"contigo","contigo",8
"corno","corno",8
"corpo","corpo",8
"cortes","cortes",8
"cria","cria",8
"crime","crime",8
"dedo","dedo",8
"desastre","desastre",8
"desculpa","desculpa",8
"desemprego","desemprego",8
"diferentes","diferentes",8
"diga","diga",8
"diretamente","diretamente",8
"ditadura","ditadura",8
"dê","dê",8
"dúvidas","dúvidas",8
"escolher","escolher",8
"espaço","espaço",8
"estará","estará",8
"estratégia","estratégia",8
"estudar","estudar",8
"extremamente","extremamente",8
"falo","falo",8
"farofa","farofa",8
"fechado","fechado",8
"feira","feira",8
"fiquei","fiquei",8
"fizemos","fizemos",8
"flow","flow",8
"fodendo","fodendo",8
"fraco","fraco",8
"frases","frases",8
"futebol","futebol",8
"gabrielaprioli","gabrielaprioli",8
"gaguejando","gaguejando",8
"ganhou","ganhou",8
"gnt","gnt",8
"gostar","gostar",8
"guilhermeboulos","guilhermeboulos",8
"impressão","impressão",8
"incapaz","incapaz",8
"incompetente","incompetente",8
"internacional","internacional",8
"invés","invés",8
"janeiro","janeiro",8
"kit","kit",8
"kkkkkkkkkkkkkkkkkk","kkkkkkkkkkkkkkkkkk",8
"leite","leite",8
"lembra","lembra",8
"levanta","levanta",8
"liga","liga",8
"liguei","liguei",8
"link","link",8
"lulanoºturno","lulanoºturno",8
"luz","luz",8
"maiores","maiores",8
"maravilhoso","maravilhoso",8
"melhores","melhores",8
"mental","mental",8
"milhares","milhares",8
"morreu","morreu",8
"mudo","mudo",8
"namoral","namoral",8
"negando","negando",8
"neles","neles",8
"nesta","nesta",8
"normal","normal",8
"nova","nova",8
"oglobopolitica","oglobopolitica",8
"oportunidade","oportunidade",8
"paralelo","paralelo",8
"parou","parou",8
"paz","paz",8
"pede","pede",8
"petista","petista",8
"piroca","piroca",8
"poucos","poucos",8
"pronta","pronta",8
"próxima","próxima",8
"quantos","quantos",8
"revistaoeste","revistaoeste",8
"rola","rola",8
"roubou","roubou",8
"sabem","sabem",8
"semana","semana",8
"sexo","sexo",8
"sonho","sonho",8
"sozinho","sozinho",8
"super","super",8
"tchau","tchau",8
"terra","terra",8
"texto","texto",8
"time","time",8
"tirou","tirou",8
"transparentes","transparentes",8
"tristeza","tristeza",8
"tse","tse",8
"uol","uol",8
"usa","usa",8
"ué","ué",8
"vergonhoso","vergonhoso",8
"votaria","votaria",8
"vídeos","vídeos",8
"ética","ética",8
"óbvio","óbvio",8
"abrir","abrir",7
"alta","alta",7
"anunciar","anunciar",7
"apagar","apagar",7
"apesar","apesar",7
"apoiador","apoiador",7
"apresentando","apresentando",7
"assisti","assisti",7
"assume","assume",7
"assumiu","assumiu",7
"assustador","assustador",7
"ataques","ataques",7
"baixar","baixar",7
"bastante","bastante",7
"bolsonarobolsonaronojn","bolsonarobolsonaronojn",7
