"","word","freq"
"alvo","alvo",10
"amiga","amiga",10
"assista","assista",10
"boca","boca",10
"bolsonarismo","bolsonarismo",10
"bolsonarista","bolsonarista",10
"bosta","bosta",10
"calma","calma",10
"campo","campo",10
"cargo","cargo",10
"causa","causa",10
"chamou","chamou",10
"cima","cima",10
"comer","comer",10
"conhecia","conhecia",10
"convencer","convencer",10
"crescer","crescer",10
"dormir","dormir",10
"dupla","dupla",10
"eleito","eleito",10
"entendi","entendi",10
"erradicar","erradicar",10
"escolha","escolha",10
"esperava","esperava",10
"estadao","estadao",10
"exatamente","exatamente",10
"falas","falas",10
"fiquei","fiquei",10
"galera","galera",10
"grandes","grandes",10
"homem","homem",10
"indígenas","indígenas",10
"intenção","intenção",10
"início","início",10
"irrelevante","irrelevante",10
"jogando","jogando",10
"jogar","jogar",10
"maiores","maiores",10
"maluco","maluco",10
"manhã","manhã",10
"maravilhosa","maravilhosa",10
"mostrar","mostrar",10
"msm","msm",10
"nise","nise",10
"nível","nível",10
"oportunidade","oportunidade",10
"palavra","palavra",10
"papel","papel",10
"petista","petista",10
"pobi","pobi",10
"população","população",10
"provavelmente","provavelmente",10
"quais","quais",10
"renan","renan",10
"rica","rica",10
"ricos","ricos",10
"risco","risco",10
"roberto","roberto",10
"sequer","sequer",10
"simpática","simpática",10
"sofreu","sofreu",10
"suficiente","suficiente",10
"terminar","terminar",10
"tranquila","tranquila",10
"unir","unir",10
"usa","usa",10
"velho","velho",10
"volta","volta",10
"vá","vá",10
"zerar","zerar",10
"🥠","🥠",10
"acompanhe","acompanhe",9
"alegre","alegre",9
"amoedo","amoedo",9
"andrejanonesadv","andrejanonesadv",9
"aposta","aposta",9
"apresenta","apresenta",9
"attuchleonardo","attuchleonardo",9
"barbaragancia","barbaragancia",9
"base","base",9
"briga","briga",9
"cai","cai",9
"candatura","candatura",9
"candidaturas","candidaturas",9
"chegou","chegou",9
"coerente","coerente",9
"comentando","comentando",9
"confiáveis","confiáveis",9
"confusa","confusa",9
"conhecimento","conhecimento",9
"contrário","contrário",9
"corrupto","corrupto",9
"cumprir","cumprir",9
"desta","desta",9
"doria","doria",9
"dúvidas","dúvidas",9
"econômico","econômico",9
"eleitorado","eleitorado",9
"entendo","entendo",9
"escolher","escolher",9
"estúdios","estúdios",9
"exemplo","exemplo",9
"faltou","faltou",9
"federal","federal",9
"feita","feita",9
"feministas","feministas",9
"fraco","fraco",9
"gastos","gastos",9
"guedes","guedes",9
"gênero","gênero",9
"impossível","impossível",9
"interesse","interesse",9
"invés","invés",9
"jarbas","jarbas",9
"joão","joão",9
"kkkkkkkk","kkkkkkkk",9
"kkkkkkkkkkk","kkkkkkkkkkk",9
"lançou","lançou",9
"lendo","lendo",9
"lulapresidente","lulapresidente",9
"machismo","machismo",9
"mandando","mandando",9
"menor","menor",9
"monte","monte",9
"mídia","mídia",9
"olhar","olhar",9
"palanque","palanque",9
"peixe","peixe",9
"pobres","pobres",9
"pobreza","pobreza",9
"politica","politica",9
"porto","porto",9
"prefeito","prefeito",9
"problemas","problemas",9
"pronto","pronto",9
"qdo","qdo",9
"ramez","ramez",9
"razão","razão",9
"reais","reais",9
"repercussão","repercussão",9
"representa","representa",9
"respondendo","respondendo",9
"ricksouza","ricksouza",9
"ridículo","ridículo",9
"roupa","roupa",9
"rádio","rádio",9
"segue","segue",9
"seguinte","seguinte",9
"segurança","segurança",9
"sentido","sentido",9
"sociais","sociais",9
"sonho","sonho",9
"trabalhar","trabalhar",9
"têm","têm",9
"venha","venha",9
"versão","versão",9
"vitória","vitória",9
"votarei","votarei",9
"vote","vote",9
"algumas","algumas",8
"ambiente","ambiente",8
"atuação","atuação",8
"bastante","bastante",8
"blogdonoblat","blogdonoblat",8
"cedo","cedo",8
"centraleleicoes","centraleleicoes",8
"cheiro","cheiro",8
"concordo","concordo",8
"condições","condições",8
"consegui","consegui",8
"conseguir","conseguir",8
"continuar","continuar",8
"convenceu","convenceu",8
"culpa","culpa",8
"curioso","curioso",8
"cynaramenezes","cynaramenezes",8
"decidir","decidir",8
"deixando","deixando",8
"dávila","dávila",8
"eleger","eleger",8
"energia","energia",8
"entende","entende",8
"entrevistadores","entrevistadores",8
"esquece","esquece",8
"explicou","explicou",8
"expresidente","expresidente",8
"falam","falam",8
"fascista","fascista",8
"fazem","fazem",8
"faça","faça",8
"feira","feira",8
"feito","feito",8
"finalmente","finalmente",8
"fodase","fodase",8
"fundos","fundos",8
"gata","gata",8
"globonews","globonews",8
"gostaria","gostaria",8
"governadora","governadora",8
"governos","governos",8
"inflação","inflação",8
"jesus","jesus",8
"jornalistas","jornalistas",8
"julgar","julgar",8
"kkkkkkkkk","kkkkkkkkk",8
"lei","lei",8
"lembrei","lembrei",8
"levar","levar",8
"leve","leve",8
"levou","levou",8
"loola","loola",8
"mandou","mandou",8
"marçal","marçal",8
"mentir","mentir",8
"mesa","mesa",8
"meses","meses",8
"metade","metade",8
"milhão","milhão",8
"monólogo","monólogo",8
"moral","moral",8
"médicas","médicas",8
"nasceu","nasceu",8
"nele","nele",8
"novamente","novamente",8
"número","número",8
"odeio","odeio",8
"oglobopolitica","oglobopolitica",8
"participou","participou",8
"pedro","pedro",8
"perto","perto",8
