"","Bolsonaro","Lula","Ciro","Tebet"
"6982","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"8554","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"1132","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"1786","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"517","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"4677","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"3989","NEGATIVO","POSITIVO","NEUTRO","NEGATIVO"
"553","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"7919","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"8255","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"2415","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"6170","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"5015","NEGATIVO","NEUTRO","NEGATIVO","NEGATIVO"
"1886","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"8201","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"4573","NEUTRO","POSITIVO","NEGATIVO","NEGATIVO"
"2781","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"7501","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"1627","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"4666","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"2636","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"869","NEGATIVO","NEGATIVO","NEUTRO","NEUTRO"
"4993","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"441","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"8085","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"5979","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"6643","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"5290","NEGATIVO","NEUTRO","NEGATIVO","POSITIVO"
"6016","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"4726","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"3408","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"785","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"8123","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"5888","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"8504","POSITIVO","NEUTRO","POSITIVO","POSITIVO"
"1817","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"7595","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"536","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"2258","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"8836","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"1826","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"8906","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"1518","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"7332","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"2314","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"877","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"4878","POSITIVO","POSITIVO","NEUTRO","POSITIVO"
"2583","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"3486","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"1337","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"4879","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"8132","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"4290","NEUTRO","NEGATIVO","POSITIVO","NEGATIVO"
"7437","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"4249","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"7104","POSITIVO","NEGATIVO","NEUTRO","POSITIVO"
"3514","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"6005","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"1532","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"4583","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"4528","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"5062","NEGATIVO","POSITIVO","NEGATIVO","NEGATIVO"
"5068","POSITIVO","NEGATIVO","NEGATIVO","POSITIVO"
"6706","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"5218","POSITIVO","POSITIVO","NEUTRO","POSITIVO"
"3605","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"7411","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"6222","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"440","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"6040","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"1140","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"3475","POSITIVO","NEGATIVO","POSITIVO","NEUTRO"
"1933","POSITIVO","POSITIVO","POSITIVO","NEUTRO"
"4124","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"8883","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"4601","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"4094","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"3198","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"4518","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"6505","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"8179","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"3090","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"437","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"529","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"8485","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"7343","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"2443","NEGATIVO","POSITIVO","NEUTRO","NEGATIVO"
"2850","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"9010","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"7627","NEUTRO","POSITIVO","NEGATIVO","NEGATIVO"
"4799","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"3290","POSITIVO","POSITIVO","NEUTRO","POSITIVO"
"780","NEGATIVO","POSITIVO","POSITIVO","POSITIVO"
"6891","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"3911","NEUTRO","NEGATIVO","NEGATIVO","POSITIVO"
"7387","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"8291","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"7947","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"150","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1567","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"5000","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"3606","NEGATIVO","POSITIVO","POSITIVO","POSITIVO"
"7538","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"4897","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"1342","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"8931","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"6910","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"7199","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"9039","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"4020","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"8430","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"6343","POSITIVO","NEGATIVO","NEUTRO","POSITIVO"
"2022","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"4502","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"7269","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"1128","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"3977","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"1020","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"890","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"4265","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"613","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"4208","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"3577","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"632","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"3163","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"2878","POSITIVO","NEUTRO","NEGATIVO","NEUTRO"
"3907","NEGATIVO","NEGATIVO","NEGATIVO","NEUTRO"
"7562","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"5527","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"3595","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"110","NEGATIVO","NEGATIVO","POSITIVO","NEGATIVO"
"2065","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"4654","POSITIVO","NEUTRO","NEGATIVO","NEGATIVO"
"1712","POSITIVO","NEUTRO","POSITIVO","NEGATIVO"
"2578","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"7165","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"6116","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"7903","POSITIVO","POSITIVO","NEUTRO","NEGATIVO"
"1625","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"3059","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"8464","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"3783","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"4515","NEUTRO","NEGATIVO","POSITIVO","NEGATIVO"
"5680","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"755","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"6708","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"5009","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"3410","POSITIVO","POSITIVO","NEUTRO","NEGATIVO"
"5513","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"2109","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"143","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"8732","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"5324","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"1147","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"8166","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"2585","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"8636","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"4855","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"4562","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"8542","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"537","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"5757","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"6838","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"801","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"2810","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"4444","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"151","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"6284","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"4134","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"5455","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"8020","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"406","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"1798","POSITIVO","NEGATIVO","POSITIVO","NEUTRO"
"3824","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"5265","NEGATIVO","NEUTRO","POSITIVO","NEGATIVO"
"96","NEUTRO","NEGATIVO","POSITIVO","NEUTRO"
"3105","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"3762","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"3160","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"7591","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"4958","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"8293","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"6350","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"2817","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"2866","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"1286","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"6588","NEUTRO","NEGATIVO","POSITIVO","NEGATIVO"
"1403","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"4223","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"8878","NEGATIVO","POSITIVO","NEGATIVO","POSITIVO"
"1065","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"3471","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"992","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4923","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"3519","NEUTRO","NEGATIVO","POSITIVO","NEGATIVO"
"8997","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"8262","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"4057","NEGATIVO","POSITIVO","POSITIVO","POSITIVO"
"5629","POSITIVO","NEUTRO","POSITIVO","NEGATIVO"
"8483","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"2363","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
"8506","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
"1069","POSITIVO","POSITIVO","NEGATIVO","NEUTRO"
"1807","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1867","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"1899","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"6797","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"3517","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"3895","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"7667","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"144","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"6849","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"1699","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"7873","NEGATIVO","NEUTRO","NEGATIVO","POSITIVO"
"7091","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"3468","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"4420","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"5967","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"7546","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"7489","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"4230","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"5362","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"2539","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"6714","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"5109","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"6640","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"2697","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"1582","POSITIVO","NEGATIVO","NEGATIVO","NEUTRO"
"7117","NEGATIVO","NEGATIVO","NEUTRO","NEUTRO"
"9125","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"7778","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"4447","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"206","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"2044","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"378","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"2305","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"2704","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"7448","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"6198","NEGATIVO","POSITIVO","NEGATIVO","POSITIVO"
"5793","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"3835","POSITIVO","NEGATIVO","POSITIVO","NEUTRO"
"5505","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"5061","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"497","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"1740","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"5895","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"2728","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"4748","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"1726","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"8735","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"6507","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"1145","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"8549","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"3106","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"7732","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"388","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"7959","NEUTRO","POSITIVO","NEGATIVO","POSITIVO"
"8582","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"8248","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"8720","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"8062","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"3833","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"2373","NEGATIVO","POSITIVO","NEGATIVO","NEGATIVO"
"4393","POSITIVO","NEUTRO","POSITIVO","POSITIVO"
"8578","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"3339","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"519","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"1137","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"7748","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"4466","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"7553","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"1281","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"2606","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"6302","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"9097","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"446","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"262","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"6611","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"1869","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"1225","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"2402","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"4947","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1434","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"6901","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"2024","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"5775","POSITIVO","NEUTRO","POSITIVO","NEGATIVO"
"4216","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"1879","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"5399","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"2924","NEGATIVO","NEUTRO","NEGATIVO","POSITIVO"
"2204","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"1917","POSITIVO","NEUTRO","POSITIVO","POSITIVO"
"569","NEUTRO","NEGATIVO","NEGATIVO","POSITIVO"
"4222","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"5764","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"7424","POSITIVO","NEUTRO","POSITIVO","NEGATIVO"
"4439","POSITIVO","NEUTRO","NEGATIVO","NEGATIVO"
"5535","NEGATIVO","NEGATIVO","NEUTRO","NEUTRO"
"3374","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"863","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"2601","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"5903","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"2210","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"5771","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"2758","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"3804","NEGATIVO","POSITIVO","POSITIVO","NEGATIVO"
"5951","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"7230","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"3485","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"1650","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"6642","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"3774","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"5034","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"6468","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"7760","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"7058","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"265","POSITIVO","NEGATIVO","POSITIVO","POSITIVO"
"6990","NEGATIVO","NEGATIVO","NEUTRO","NEUTRO"
"5048","NEGATIVO","NEUTRO","POSITIVO","NEGATIVO"
"6713","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"5189","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"7246","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"1747","POSITIVO","POSITIVO","POSITIVO","NEUTRO"
"5563","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"8684","POSITIVO","NEGATIVO","POSITIVO","POSITIVO"
"1488","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"6003","NEGATIVO","NEUTRO","NEGATIVO","NEGATIVO"
"450","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"7656","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"4796","POSITIVO","NEGATIVO","NEUTRO","POSITIVO"
"3803","POSITIVO","POSITIVO","POSITIVO","NEGATIVO"
"931","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"7832","NEGATIVO","POSITIVO","NEGATIVO","POSITIVO"
"6265","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"1209","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"212","POSITIVO","POSITIVO","NEUTRO","POSITIVO"
"5518","NEUTRO","POSITIVO","NEGATIVO","NEGATIVO"
"709","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"6991","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"2405","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"6703","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"2149","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4493","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"7691","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"5363","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"3451","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"3002","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"8389","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"5111","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"5963","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"8994","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"50","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"2157","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"8143","NEGATIVO","POSITIVO","NEGATIVO","NEGATIVO"
"5106","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"2786","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"2353","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"5327","NEGATIVO","NEUTRO","NEGATIVO","POSITIVO"
"2028","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"1141","POSITIVO","NEGATIVO","POSITIVO","POSITIVO"
"4286","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"5586","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"8103","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"5285","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"8859","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"7053","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"7213","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"1806","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"6974","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"230","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"7955","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"6915","POSITIVO","POSITIVO","POSITIVO","NEGATIVO"
"74","NEGATIVO","NEGATIVO","POSITIVO","NEGATIVO"
"4976","NEUTRO","POSITIVO","NEGATIVO","POSITIVO"
"2992","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"3381","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"242","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"3897","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"964","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
"1029","POSITIVO","POSITIVO","NEUTRO","POSITIVO"
"7464","POSITIVO","POSITIVO","NEUTRO","NEGATIVO"
"4056","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"1114","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"7728","NEGATIVO","NEUTRO","NEGATIVO","POSITIVO"
"891","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"1271","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"6833","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"4365","POSITIVO","NEGATIVO","NEUTRO","POSITIVO"
"2302","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"5023","POSITIVO","POSITIVO","NEUTRO","NEGATIVO"
"426","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"2842","POSITIVO","NEUTRO","NEGATIVO","NEUTRO"
"2239","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"6242","POSITIVO","NEGATIVO","POSITIVO","NEGATIVO"
"1142","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"1323","POSITIVO","POSITIVO","NEUTRO","POSITIVO"
"6949","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"6101","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"8917","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"7702","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"3949","POSITIVO","NEGATIVO","NEUTRO","POSITIVO"
"3608","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"1989","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"3666","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"1511","POSITIVO","NEUTRO","NEGATIVO","POSITIVO"
"2010","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"3413","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"6474","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"1970","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"1083","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"8224","NEGATIVO","NEUTRO","NEGATIVO","NEGATIVO"
"2822","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
