"","Bolsonaro","Lula","Ciro","Tebet"
"4156","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"3552","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"4856","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"3589","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"5424","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"953","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"4366","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"3775","NEUTRO","NEGATIVO","NEGATIVO","POSITIVO"
"3671","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"2215","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"1471","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"420","POSITIVO","POSITIVO","NEGATIVO","NEUTRO"
"411","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"5882","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"4139","NEGATIVO","NEUTRO","POSITIVO","NEGATIVO"
"4772","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"1188","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"4035","NEGATIVO","NEUTRO","NEGATIVO","POSITIVO"
"5186","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"4321","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"3126","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"1496","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"5601","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"273","NEUTRO","NEGATIVO","NEGATIVO","NEGATIVO"
"9150","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"5664","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"4525","NEUTRO","NEGATIVO","NEGATIVO","POSITIVO"
"8615","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"5145","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"4442","NEGATIVO","NEGATIVO","NEGATIVO","POSITIVO"
"8594","POSITIVO","NEUTRO","NEGATIVO","NEUTRO"
"8608","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"402","NEUTRO","NEGATIVO","POSITIVO","NEUTRO"
"54","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"5150","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"8757","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"6930","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"1892","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"809","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"8624","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"3951","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
"5550","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"4059","POSITIVO","POSITIVO","NEUTRO","NEGATIVO"
"1764","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"6201","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"7779","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"8362","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"9171","POSITIVO","POSITIVO","NEGATIVO","NEGATIVO"
"7446","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"3914","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"8407","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"5431","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"1626","NEGATIVO","NEUTRO","POSITIVO","NEGATIVO"
"5230","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"2009","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"7752","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"5087","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"7455","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"6022","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"3592","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"7968","POSITIVO","POSITIVO","NEUTRO","NEGATIVO"
"5633","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"5813","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"7996","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"3222","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"1307","NEGATIVO","NEGATIVO","NEUTRO","NEUTRO"
"3052","NEUTRO","NEGATIVO","POSITIVO","NEUTRO"
"4865","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"5022","NEUTRO","NEGATIVO","POSITIVO","NEUTRO"
"3192","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"3146","NEUTRO","NEGATIVO","NEGATIVO","NEGATIVO"
"2381","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"2092","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"3351","NEGATIVO","NEUTRO","NEGATIVO","NEGATIVO"
"2533","POSITIVO","NEGATIVO","NEUTRO","POSITIVO"
"2421","POSITIVO","NEUTRO","NEGATIVO","NEUTRO"
"1956","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"8714","POSITIVO","POSITIVO","POSITIVO","POSITIVO"
"2540","NEGATIVO","NEGATIVO","NEUTRO","NEUTRO"
"3721","POSITIVO","NEGATIVO","POSITIVO","NEUTRO"
"5196","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"7884","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"8344","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"7597","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"7506","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"7289","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"8045","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"2765","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"8403","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"975","NEUTRO","POSITIVO","NEGATIVO","NEGATIVO"
"1344","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"788","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"7980","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"4594","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"7781","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"1721","NEGATIVO","NEUTRO","NEGATIVO","NEGATIVO"
"5727","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"6864","POSITIVO","NEUTRO","POSITIVO","POSITIVO"
"271","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"3241","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"2865","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"2324","POSITIVO","NEUTRO","POSITIVO","POSITIVO"
"8392","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"5758","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"6426","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
